0,i responded i going,neutral
1,sooo sad i miss san diego,negative
2,bos bullying,negative
3,interview leave alone,negative
4,sons put release already bought,negative
5,http www dothebouncy com smf shameless plugging best rangers forum earth,neutral
6,feeding baby fun smile coo,positive
7,soooo high,neutral
8,both,neutral
9,journey wow u became cooler hehe possible,positive
10,much love hopeful reckon chance minimal p never gonna get cake stuff,neutral
11,i really really like song love story taylor swift,positive
12,my sharpie running dangerously low ink,negative
13,want go music tonight lost voice,negative
14,test test lg env,neutral
15,uh oh i sunburned,negative
16,s ok trying plot alternative speak sigh,negative
17,sick past day thus hair look wierd didnt hat would look http tinyurl com mnf kw,negative
18,back home gonna miss every one,negative
19,hes,neutral
20,oh marly i sorry i hope find soon,neutral
21,playing ghost online really interesting the new update kirin pet metamorph third job can wait dragon pet,positive
22,cleaning house family comming later today,neutral
23,gotta restart computer i thought win supposed put end constant rebootiness,neutral
24,see wat i mean bout foll w friidays it s called lose f llowers friday smh,neutral
25,free fillin app ipod fun im addicted,positive
26,i sorry,negative
27,on way malaysia internet access twit,negative
28,juss came backk berkeleyy omg madd fun havent minute whassqoodd,positive
29,went sleep power cut noida power back working,negative
30,i going home have seen new twitter design quite heavenly,positive
31,hope unni make audition fighting dahye unni,positive
32,if consolation i got bmi tested hahaha say i obesed well much unhappy minute,negative
33,that funny cute kid,positive
34,ahhh i slept game i gonna try best watch tomorrow though i hope play army,neutral
35,thats end tears fears v eric prydz dj hero http bit ly hpbg,neutral
36,born raised nyc living texas past year i still miss ny,negative
37,case wonder really busy today coming adding ton new blog update stay tuned,neutral
38,soooooo sleeeeepy last day school today sniffle,negative
39,a little happy wine jeje ok sm free time care jaja love day,positive
40,car happy big big dent boot hoping theyre going write crossing finger waiting,neutral
41,im avid fan magazine love magazine,positive
42,mayday,neutral
43,ratt rocked nashville tonite one thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look,neutral
44,i love but i available pm dear would love help convert vids,positive
45,the girl hair salon asked shall i trim eyebrow how old i feel,neutral
46,egh blah boooooooooooo dunno wanna go work hangovers suckkkkkk im drunk mess,negative
47,visiting friendster facebook,neutral
48,donbt like peel prawn also dont like going shopping running money crawling round car looking,negative
49,case i got new one last week i thrilled mine,negative
50,then check http twittersucks com connect tweeple hate twitter,neutral
51,also bored school third freelesson freistunde,neutral
52,hm both u i guess,neutral
53,u dissappointed past day,negative
54,romance zero funny,positive
55,i rather early run i morning runner,neutral
56,bah coworker ran work late bag smacked knee really hurt,negative
57,back later http plurk com p rp k,neutral
58,aw torn ace heart hunchback,negative
59,fun speaking,neutral
60,lost friend alone sleepy wanna go home,negative
61,haha yes,neutral
62,i give easily,negative
63,what better way spoil mum let kick back relax nice meal bottle favorite wine our wine red,positive
64,mannnn got iphone im jealous http bit ly ngnar,negative
65,is photoshoot,neutral
66,he awesome have worked he good friend,positive
67,yay playing show tonight boo gonna soggy i work right playing,neutral
68,chilliin,positive
69,if know agent let know,neutral
70,i still smell smoke kitchenfire,neutral
71,celtic lakers rematch sound better think lol,positive
72,anyone extra keane ticket i promise buy drink take rad pic fb blog flickr etc,neutral
73,ride one catch one summer til pop open one,neutral
74,good gor juz yea kno asked yesterday tha hospital talked u said,neutral
75,ok i just popped say hi check thing i probably head guttah later tonight,neutral
76,wow am really missin the fam ily today baddd,negative
77,my source say,neutral
78,i sooo tired,negative
79,hey change twitter account even tell,neutral
80,thank yyyyyyyyyoooooooooouuuuu,positive
81,lucky kid wanna see loserville pity im oz,positive
82,fell asleep waiting ride,neutral
83,sick with flu like thing,negative
84,still reply simfinger problem so irape parody video i get response sorry guy,negative
85,happy star wars day everyone enjoy holiday uk,positive
86,miles i essex give plenty warning i arrive time get least one free beer,neutral
87,his snoring annoying n keep sleeping like right lol i honestly wud miss eva left i love,neutral
88,miss bby wish going tomorrow make good,negative
89,well im working quite ready post publicly still beta testing cool new script i coded,positive
90,sweeeeet san fran awesome love,positive
91,mounce yes last way past bedtime,neutral
92,hi joined twitter,neutral
93,waiting sleeping pill kick gonna tired work tomorrow,negative
94,eating ice cream getting ready graduation,neutral
95,happy mothers day mums,positive
96,casey s gone but why so piddled little carpet she prolly freaked cause new can get back,negative
97,hemp cloth marvelous unfortunately,negative
98,gonna read story bout adam lambert online bed nighty night,neutral
99,we saw none d baddie best,positive
100,and im beach pretty,positive
101,certainly cheers huh,neutral
102,week post horrible traumatic jumping cholla accident cholla next dirty trick piece starting emerge hand ouch,negative
103,realy wanted go cause nice everybodys busy,negative
104,awesome i ocean beach know by way yourbiggestfan i al big fan r,positive
105,least i get watch time let go pens,neutral
106,cool wear black time go,neutral
107,haha i know work blip apart obvious thanks reblipping song nice day,positive
108,safe trip joshy poo knock dead speech,positive
109,woof i wish i allowed go,positive
110,u friendster add email adress add loco crime st com add leave comment,neutral
111,ticket,neutral
112,thank afrin nasal spray also i got giant teacup tonight,positive
113,acsm unfathomable think one one kept comfort bedroom yes,neutral
114,aww i love daddy he work day week almost day still try go sf u,positive
115,so many test todayyy i feel confident anyy,negative
116,graduation done im little sad anyone want hang,negative
117,hahaa awesomee,positive
118,holy smoke star trek freaking awesomeeeee,positive
119,i hate fallout keep making jump i also low health money ammo food worry i get,neutral
120,i on itunes i lost song,neutral
121,what gloomy weather the sun must tired come play heading victoria garden impulse buy haha,neutral
122,not looking forward next week maths geography english french exam totalling hour,negative
123,poor get outside sleep garden sun good but forget suncream,negative
124,well,negative
125,not prob hun,positive
126,dad watching mtv going sims minutee,neutral
127,absolutely,neutral
128,matter chickadee,neutral
129,hey mia totally adore music cd,positive
130,shopping cleaning bmfing webcam chatting nephew nothing spesh good bank holiday monday nonetheless,positive
131,o need ask something lmao i love,positive
132,splinter look painful heroic saving mr pickle,negative
133,sad,negative
134,nice see tweeting it sunday th may celebrating mother day today so nice yer mom,positive
135,decided trans frm relaxed natural hair wish whole head looked like root age instant gratification,positive
136,namaskar namaste r marathi people say namaskar marathi word naaaah,neutral
137,congrats i cuss like matter minute but know reward,neutral
138,humous dorito oh yes,neutral
139,missed awesome weather movie,negative
140,today going normal day i hope we group pilot large airline come last night much drink,neutral
141,these kid terrible if i good evans i call childline,negative
142,unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one day,negative
143,what sad i actually google term that suck tho,negative
144,hate fighting,negative
145,i watched i didnt want win put good fight lol,neutral
146,car warmed sprite taste like sore throat,negative
147,just came th cross country beat dumbo,neutral
148,candle wax enjoyable,positive
149,she unassuming unpretentious she i suppose endearing relate,positive
150,tomorrow valeria lunch going get hair done im arraving late got cousin babtizm whatever spell,neutral
151,goooooddd morning tweet week three of workout mention got new glass yesterday,positive
152,i hate computer much,negative
153,fine going big walk today mile,positive
154,i want red cruisers like one lmfao,negative
155,mmmmmmmm morning,neutral
156,neither,neutral
157,has hour work sunday boo i find time two hour lunchbreak though yeah,neutral
158,bugger forgot i still washing machine,negative
159,laurie sending love blessing healing thought family peace,positive
160,my back hurt really bad,negative
161,ah yes i know feeling,neutral
162,night cooker dad,neutral
163,my modem offline week god bless g network tim left again may schedule brutal,negative
164,nope i coquitlam,neutral
165,had parent teacher thing yesterday so boring going skl saturday lol,negative
166,lichfield tweetup sound like fun hope see everyone else,positive
167,big booming thunder storm almost maybe go home early ah probably,neutral
168,few bevvies day twn great day,positive
169,first night myers w lydia actually excited summer,positive
170,good morning,positive
171,best show ever,positive
172,url previous post timer job http bit ly fdb i removed space messed url es,negative
173,think iv hurt tooth eilish cassie drawing competiton draw cooky pineapple haha l,neutral
174,i want know audition mander text reply please,neutral
175,even nooooo not the secret namerebecca please,negative
176,i miss neice wait see bad n grown lol,negative
177,need get computer fixed,neutral
178,really hope car illness terminal,negative
179,all cool people i want find following today english i guess english tweet,neutral
180,sir woulda put honey,neutral
181,watched x men origin wolverine totally loved haha,positive
182,i voted u personal myspace keep talking fake u helped thru hrdest time life x,positive
183,i sad i missed guy last night,negative
184,finally got call marriage counseling day late,neutral
185,ok,neutral
186,baby,neutral
187,today last day high school ended going home sick stupid dead rat,negative
188,we impromptu pool party except i know swim i get,neutral
189,lost tooth day whilst eating gum oww,negative
190,happy year,positive
191,oh i hella forgot say official good morning like hear here go goooooooooooood morrrrrrrrning twitterville lol,positive
192,phew will make note case anyone else run issue,neutral
193,what about me i vote every day for you,negative
194,i starving this diet killing i eat pm,negative
195,talk,neutral
196,im soo bored im deffo missing music channel,negative
197,nite nite bday girl fun concert,positive
198,had nicotine replacement patch hour so far good i sleep hour getting bit twitchy,neutral
199,sanderson what twatter lately either i get reply turn,neutral
200,sleeping lost voice couple day ago,negative
201,http twitpic com xlm hate parked car get hit,negative
202,i heard fall i waiting,neutral
203,nightmare huggles,neutral
204,i am such a creeper i feel disappointed cyberstalking skill internet privacy,negative
205,going bed late i headache,negative
206,happy mother day mom,positive
207,grabbing coffee making mom breakfast,neutral
208,im thinking im going fun tonight maybe change coming,positive
209,thanks major chop,neutral
210,haha i know i cant handle fame thank,positive
211,got updated ipod,neutral
212,yes sober hahaha tanghaling tapat dude haha wild knowwww plan plan go us,positive
213,we never miss icarly son huge crush miranda,positive
214,saw james carville store today his head really bald,neutral
215,yellow http blip fm z g,neutral
216,mean going come back vancouver way hahah,neutral
217,feeling smooth like chrome,positive
218,ew traffic,negative
219,downloading song trying sneak lil homework main priority song lol,neutral
220,ra ra alone need coffee,neutral
221,sounds like,neutral
222,bad day the day realize mess put one happiest day life,neutral
223,walking class i hate bike especially mine,negative
224,nesmith,neutral
225,failed inspection did know pas wo oven wo anti tip bracket sold w oven this worse tax,negative
226,jonas brothers live party it rocking hard i love song,positive
227,happy mother day mother world,positive
228,min hr min google wave demo look lot fun would love test though http bit ly wnmsc,positive
229,sleepy tabz heading bed fun night listened next episode joss,positive
230,the exception short dude larenz fineass tate yum,neutral
231,screw review i thought wolverine awesome but enough dominic monaghan liking,positive
232,if followed u recently please dont offended followed back we hit limit hopefully free soon,positive
233,yes work,neutral
234,hmmm maybe meant they eluded something brand new know medium,neutral
235,done spa meeting vic late lunch,neutral
236,happy monday going tavares today hope everyone blessed day,positive
237,always wanted go oz,neutral
238,thx,neutral
239,http twitpic com jaz cool luv,positive
240,i need to represent blackberries,positive
241,okay i dedicating th tweet fact i going apple store huge crack glass screen,neutral
242,if could ever actually allowed stay,neutral
243,let know turn,neutral
244,sas i detect as long back sas haha,neutral
245,yeah i thinking ahaha,positive
246,sports bar shatranjanpoli rest ph all sports bar andheri w dont know whether help google ki jai ho,neutral
247,i sleeping accepts appology,negative
248,wolverine was boss seriously and will i am was in it what the,negative
249,i live pain bring,neutral
250,okay back later,neutral
251,powerblog what powerblog challenge keep talking i newbie follower,neutral
252,almost died laptop screen set brightness i reinstalled windows vista got headache insanedefaults,positive
253,waiting tish get got drive mom crv pick duckie first time,neutral
254,trying decide movie friend going well lol p no bible study nite mean day cake buy,negative
255,going shower want smell school tomorrow,neutral
256,sigh know i,neutral
257,discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,positive
258,here free twitter tool get follower http short q http jijr com hulz http short r http org xpg,neutral
259,got home work chugging big bottle apple juice,neutral
260,yes please dont go if die i cry normally lead small animal getting harmed,negative
